key,scientificName,phylum,class,decimalLatitude,decimalLongitude,eventDate,taxon_group
3445003183,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-10,"Elasmobranchii (sharks & rays, class)"
3445003200,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-16,"Elasmobranchii (sharks & rays, class)"
3445003284,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-20,"Elasmobranchii (sharks & rays, class)"
3445005190,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-19,"Elasmobranchii (sharks & rays, class)"
3445005210,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-02,"Elasmobranchii (sharks & rays, class)"
3445005211,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-20,"Elasmobranchii (sharks & rays, class)"
3445005216,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-26,"Elasmobranchii (sharks & rays, class)"
3445005221,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3445005228,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-03,"Elasmobranchii (sharks & rays, class)"
3445005229,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-21,"Elasmobranchii (sharks & rays, class)"
3445006325,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3445006335,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-05,"Elasmobranchii (sharks & rays, class)"
3445006336,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3445006343,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-15,"Elasmobranchii (sharks & rays, class)"
3445006354,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-19,"Elasmobranchii (sharks & rays, class)"
3445006542,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-10,"Elasmobranchii (sharks & rays, class)"
3445006581,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-06,"Elasmobranchii (sharks & rays, class)"
3445006617,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-10,"Elasmobranchii (sharks & rays, class)"
3445007974,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-16,"Elasmobranchii (sharks & rays, class)"
